trial channel time voltage
31 FP1 0 -1.109
31 FP1 1 0.844
31 FP1 2 2.309
31 FP1 3 2.309
31 FP1 4 1.333
31 FP1 5 0.844
31 FP1 6 1.333
31 FP1 7 2.309
31 FP1 8 2.797
31 FP1 9 2.309
31 FP1 10 2.309
31 FP1 11 1.333
31 FP1 12 0.844
31 FP1 13 0.844
31 FP1 14 0.844
31 FP1 15 0.356
31 FP1 16 -0.132
31 FP1 17 -0.132
31 FP1 18 -0.132
31 FP1 19 0.356
31 FP1 20 0.844
31 FP1 21 1.821
31 FP1 22 1.821
31 FP1 23 1.333
31 FP1 24 0.356
31 FP1 25 -1.109
31 FP1 26 -2.574
31 FP1 27 -4.527
31 FP1 28 -5.015
31 FP1 29 -5.015
31 FP1 30 -5.015
31 FP1 31 -5.503
31 FP1 32 -5.503
31 FP1 33 -5.503
31 FP1 34 -5.503
31 FP1 35 -5.015
31 FP1 36 -4.527
31 FP1 37 -4.038
31 FP1 38 -3.550
31 FP1 39 -3.062
31 FP1 40 -2.085
31 FP1 41 -0.132
31 FP1 42 0.844
31 FP1 43 1.333
31 FP1 44 0.844
31 FP1 45 0.844
31 FP1 46 0.844
31 FP1 47 2.309
31 FP1 48 3.286
31 FP1 49 3.286
31 FP1 50 1.821
31 FP1 51 -1.597
31 FP1 52 -4.038
31 FP1 53 -5.015
31 FP1 54 -5.015
31 FP1 55 -4.527
31 FP1 56 -5.503
31 FP1 57 -6.480
31 FP1 58 -7.456
31 FP1 59 -7.945
31 FP1 60 -6.968
31 FP1 61 -5.503
31 FP1 62 -4.527
31 FP1 63 -4.038
31 FP1 64 -4.038
31 FP1 65 -4.527
31 FP1 66 -4.527
31 FP1 67 -4.527
31 FP1 68 -4.527
31 FP1 69 -4.527
31 FP1 70 -4.038
31 FP1 71 -3.550
31 FP1 72 -2.574
31 FP1 73 -0.621
31 FP1 74 0.844
31 FP1 75 0.844
31 FP1 76 -0.132
31 FP1 77 -2.085
31 FP1 78 -4.038
31 FP1 79 -4.527
31 FP1 80 -4.527
31 FP1 81 -4.038
31 FP1 82 -5.015
31 FP1 83 -6.480
31 FP1 84 -7.945
31 FP1 85 -7.945
31 FP1 86 -6.480
31 FP1 87 -4.038
31 FP1 88 -3.062
31 FP1 89 -4.038
31 FP1 90 -5.503
31 FP1 91 -6.968
31 FP1 92 -6.968
31 FP1 93 -5.503
31 FP1 94 -4.527
31 FP1 95 -4.527
31 FP1 96 -6.480
31 FP1 97 -8.433
31 FP1 98 -9.898
31 FP1 99 -10.386
31 FP1 100 -9.898
31 FP1 101 -9.410
31 FP1 102 -8.921
31 FP1 103 -8.921
31 FP1 104 -8.433
31 FP1 105 -7.945
31 FP1 106 -7.456
31 FP1 107 -6.968
31 FP1 108 -5.992
31 FP1 109 -5.015
31 FP1 110 -4.038
31 FP1 111 -3.062
31 FP1 112 -3.550
31 FP1 113 -4.038
31 FP1 114 -4.527
31 FP1 115 -4.038
31 FP1 116 -3.062
31 FP1 117 -3.062
31 FP1 118 -5.015
31 FP1 119 -7.456
31 FP1 120 -8.921
31 FP1 121 -8.921
31 FP1 122 -7.456
31 FP1 123 -5.503
31 FP1 124 -5.015
31 FP1 125 -6.480
31 FP1 126 -8.433
31 FP1 127 -8.433
31 FP1 128 -6.968
31 FP1 129 -3.550
31 FP1 130 -0.621
31 FP1 131 0.844
31 FP1 132 0.844
31 FP1 133 -0.621
31 FP1 134 -2.574
31 FP1 135 -4.038
31 FP1 136 -4.038
31 FP1 137 -3.550
31 FP1 138 -2.574
31 FP1 139 -0.621
31 FP1 140 0.844
31 FP1 141 1.333
31 FP1 142 0.844
31 FP1 143 -1.109
31 FP1 144 -2.574
31 FP1 145 -4.038
31 FP1 146 -4.527
31 FP1 147 -4.527
31 FP1 148 -4.527
31 FP1 149 -5.015
31 FP1 150 -4.527
31 FP1 151 -4.038
31 FP1 152 -3.062
31 FP1 153 -1.109
31 FP1 154 -0.132
31 FP1 155 0.356
31 FP1 156 -0.621
31 FP1 157 -2.085
31 FP1 158 -2.085
31 FP1 159 -1.109
31 FP1 160 0.844
31 FP1 161 1.821
31 FP1 162 1.821
31 FP1 163 1.333
31 FP1 164 -0.132
31 FP1 165 -0.132
31 FP1 166 1.333
31 FP1 167 3.286
31 FP1 168 5.727
31 FP1 169 7.192
31 FP1 170 7.192
31 FP1 171 6.215
31 FP1 172 5.727
31 FP1 173 6.215
31 FP1 174 8.169
31 FP1 175 10.610
31 FP1 176 13.051
31 FP1 177 15.004
31 FP1 178 15.493
31 FP1 179 15.493
31 FP1 180 15.493
31 FP1 181 15.981
31 FP1 182 16.469
31 FP1 183 16.958
31 FP1 184 16.958
31 FP1 185 16.958
31 FP1 186 16.958
31 FP1 187 18.422
31 FP1 188 19.887
31 FP1 189 21.840
31 FP1 190 23.305
31 FP1 191 23.794
31 FP1 192 24.282
31 FP1 193 24.282
31 FP1 194 25.258
31 FP1 195 25.258
31 FP1 196 24.282
31 FP1 197 22.329
31 FP1 198 21.352
31 FP1 199 20.864
31 FP1 200 22.329
31 FP1 201 24.770
31 FP1 202 27.212
31 FP1 203 28.676
31 FP1 204 29.165
31 FP1 205 29.165
31 FP1 206 29.165
31 FP1 207 29.653
31 FP1 208 29.653
31 FP1 209 28.676
31 FP1 210 27.212
31 FP1 211 26.235
31 FP1 212 25.258
31 FP1 213 26.235
31 FP1 214 27.700
31 FP1 215 30.629
31 FP1 216 33.071
31 FP1 217 34.047
31 FP1 218 34.047
31 FP1 219 32.583
31 FP1 220 31.118
31 FP1 221 29.653
31 FP1 222 28.676
31 FP1 223 27.212
31 FP1 224 26.235
31 FP1 225 24.282
31 FP1 226 22.817
31 FP1 227 21.352
31 FP1 228 20.376
31 FP1 229 18.911
31 FP1 230 17.934
31 FP1 231 16.469
31 FP1 232 15.981
31 FP1 233 16.958
31 FP1 234 17.446
31 FP1 235 18.422
31 FP1 236 18.422
31 FP1 237 18.422
31 FP1 238 18.422
31 FP1 239 17.446
31 FP1 240 17.446
31 FP1 241 16.958
31 FP1 242 15.981
31 FP1 243 15.004
31 FP1 244 14.516
31 FP1 245 14.516
31 FP1 246 14.028
31 FP1 247 13.540
31 FP1 248 12.563
31 FP1 249 11.098
31 FP1 250 9.145
31 FP1 251 7.192
31 FP1 252 5.727
31 FP1 253 4.751
31 FP1 254 5.239
31 FP1 255 7.192
31 FP2 0 -1.933
31 FP2 1 -0.468
31 FP2 2 0.020
31 FP2 3 0.020
31 FP2 4 0.020
31 FP2 5 1.485
31 FP2 6 3.927
31 FP2 7 4.903
31 FP2 8 3.927
31 FP2 9 1.485
31 FP2 10 -0.468
31 FP2 11 -1.444
31 FP2 12 -1.444
31 FP2 13 -0.468
31 FP2 14 0.020
31 FP2 15 -0.956
31 FP2 16 -2.421
31 FP2 17 -3.398
31 FP2 18 -2.909
31 FP2 19 -1.444
31 FP2 20 0.020
31 FP2 21 1.485
31 FP2 22 1.485
31 FP2 23 0.997
31 FP2 24 0.020
31 FP2 25 -1.444
31 FP2 26 -2.909
31 FP2 27 -4.374
31 FP2 28 -4.862
31 FP2 29 -4.862
31 FP2 30 -4.862
31 FP2 31 -5.351
31 FP2 32 -6.327
31 FP2 33 -6.816
31 FP2 34 -6.816
31 FP2 35 -6.327
31 FP2 36 -5.839
31 FP2 37 -5.351
31 FP2 38 -4.862
31 FP2 39 -3.398
31 FP2 40 -1.933
31 FP2 41 -0.468
31 FP2 42 0.020
31 FP2 43 0.020
31 FP2 44 -0.956
31 FP2 45 -1.444
31 FP2 46 -0.468
31 FP2 47 1.485
31 FP2 48 2.462
31 FP2 49 1.973
31 FP2 50 0.020
31 FP2 51 -3.398
31 FP2 52 -4.862
31 FP2 53 -5.351
31 FP2 54 -4.862
31 FP2 55 -4.862
31 FP2 56 -5.351
31 FP2 57 -6.816
31 FP2 58 -7.792
31 FP2 59 -7.792
31 FP2 60 -6.816
31 FP2 61 -5.351
31 FP2 62 -4.374
31 FP2 63 -3.886
31 FP2 64 -4.862
31 FP2 65 -6.327
31 FP2 66 -7.792
31 FP2 67 -7.792
31 FP2 68 -6.816
31 FP2 69 -4.862
31 FP2 70 -2.909
31 FP2 71 -1.933
